microRNA ID	P-value (EV CL1-0 vs. CE CL1-0)	FDR step up (EV CL1-0 vs. CE CL1-0)	Ratio (EV CL1-0 vs. CE CL1-0)	Log2(Ratio) (EV CL1-0 vs. CE CL1-0)	Fold change (EV CL1-0 vs. CE CL1-0)	LSMean(EV CL1-0) (EV CL1-0 vs. CE CL1-0)	LSMean(CE CL1-0) (EV CL1-0 vs. CE CL1-0)
hsa-miR-3940-3p	4.072654264662707E-6	3.335173627548109E-5	0.0025575366642565066E0	-8.611029362399444E0	-391.00123723571596E0	0.009999999999999787E0	3.910012376298198E0
hsa-miR-3611	4.171112954105089E-6	3.3546345824211966E-5	6.550800186486227E-4	-10.576041235561112E0	-1526.5310672472035E0	0.00999999999999801E0	15.265310691366972E0
hsa-miR-125a-3p	4.227913245830362E-6	3.3546345824211966E-5	1.693668978702565E-4	-12.5275604467035E0	-5904.341477435868E0	0.009999999999990905E0	59.0434148608864E0
hsa-miR-18a-3p	4.262489485914722E-6	3.3546345824211966E-5	2.6496007891983997E-4	-11.88193737188473E0	-3774.153465218948E0	0.009999999999990905E0	37.741534704647165E0
hsa-miR-6126	4.35691383020588E-6	3.3849868988522606E-5	1000000.0E0	19.931568569324174E0	1000000.0E0	51621.37467187552E0	0.010000000000218279E0
hsa-miR-6844	4.54571234160968E-6	3.486964150652489E-5	0.0034579139892019217E0	-8.175882300266938E0	-289.1916927727857E0	0.009999999999999787E0	2.8919169304954204E0
hsa-miR-450b-5p	4.6755178358379536E-6	3.54170476064725E-5	8.407869390087008E-5	-13.537900216142585E0	-11893.619579521699E0	0.009999999999990905E0	118.93619598358305E0
hsa-let-7a-3p	5.182506487330353E-6	3.8370291154765364E-5	1.537096071274164E-4	-12.667505040663059E0	-6505.774223800193E0	0.009999999999990905E0	65.05774233440928E0
hsa-miR-365a-3p	5.1920195951992734E-6	3.8370291154765364E-5	1.762285143640207E-5	-15.792193098400437E0	-56744.50605277092E0	0.009999999999990905E0	567.4450615761389E0
hsa-miR-5009-5p	5.457399179953456E-6	3.9497865502904505E-5	0.0013681691978549649E0	-9.513537629137101E0	-730.9037519393173E0	0.009999999999999787E0	7.309037527532352E0
hsa-miR-26a-1-3p	5.474951653867951E-6	3.9497865502904505E-5	1.4061147334286714E-4	-12.795998062098263E0	-7111.79519157444E0	0.009999999999990905E0	71.11795202220185E0
hsa-miR-7-1-3p	5.561639893197283E-6	3.9593283228492E-5	3.33352962665125E-5	-14.872589925353099E0	-29998.233464166504E0	0.009999999999763531E0	299.98233515681E0
hsa-miR-19b-1-5p	5.653760777637561E-6	3.9593283228492E-5	3.039370389225465E-4	-11.683939881675762E0	-3290.155104310383E0	0.010000000000019327E0	32.90155108816532E0
hsa-miR-548e-3p	5.684184225872615E-6	3.9593283228492E-5	3.6573329764115313E-4	-11.416920398878073E0	-2734.2328588882574E0	0.010000000000005116E0	27.342328625436764E0
hsa-miR-3200-3p	5.883081234754996E-6	4.051303668479008E-5	1.258378807284561E-4	-12.956146100316177E0	-7946.732686621502E0	0.010000000000019327E0	79.46732698688638E0
hsa-miR-544b	6.223799258934371E-6	4.2377779223755376E-5	0.0037858377115892344E0	-8.045171716648372E0	-264.14233154759717E0	0.009999999999999787E0	2.6414233179633984E0
hsa-miR-151a-5p	6.425804050592721E-6	4.326708060732432E-5	8.972540993113064E-5	-13.444123865096955E0	-11145.11486509292E0	0.009999999999990905E0	111.45114882621743E0
hsa-miR-26b-3p	6.591171147178852E-6	4.3892854013081145E-5	9.060695391719257E-4	-10.108090600835828E0	-1103.6680483861307E0	0.00999999999999801E0	11.03668049691764E0
hsa-miR-450a-2-3p	6.893183805223822E-6	4.540510202136561E-5	0.0016343681022197567E0	-9.257051332121996E0	-611.8572668187942E0	0.00999999999999801E0	6.118572674816663E0
hsa-miR-193b-5p	7.0587534867882015E-6	4.5603908986319676E-5	2.279658038670294E-4	-12.098894951174785E0	-4386.6228313054E0	0.009999999999990905E0	43.866228375138576E0
hsa-miR-548l	7.073873671145297E-6	4.5603908986319676E-5	0.002350313699525765E0	-8.732930956575617E0	-425.47511857747975E0	0.009999999999999787E0	4.25475119012402E0
hsa-miR-1180-3p	7.499784748267072E-6	4.774390897889215E-5	2.3897056211366E-4	-12.030879470583521E0	-4184.615842031524E0	0.009999999999990905E0	41.84615847920759E0
hsa-miR-627-5p	7.563391521408657E-6	4.774390897889215E-5	2.466375448917211E-4	-11.98531994596386E0	-4054.5327372562856E0	0.010000000000019327E0	40.545327429523496E0
hsa-miR-4746-5p	7.83162166017396E-6	4.892745078417958E-5	0.0011449671554436933E0	-9.770478070932127E0	-873.3874987116848E0	0.009999999999999787E0	8.733874997105373E0
hsa-miR-4766-3p	8.005601858293538E-6	4.928795534314375E-5	7.649428893559659E-4	-10.352360339350165E0	-1307.2871372684272E0	0.00999999999999801E0	13.072871388523193E0
hsa-miR-551b-3p	8.051992704572988E-6	4.928795534314375E-5	0.0017041351871066712E0	-9.19674449720146E0	-586.8079055968724E0	0.00999999999999801E0	5.868079062284641E0
hsa-miR-3912-3p	8.226501165716495E-6	4.9852597064241956E-5	0.005336687667703546E0	-7.549839705309017E0	-187.38214830367139E0	0.009999999999999787E0	1.8738214846926438E0
hsa-miR-941	9.762553069945204E-6	5.8575318419671226E-5	6.889980186509596E-4	-10.503212545366683E0	-1451.382983594023E0	0.009999999999990905E0	14.513829853770972E0
hsa-miR-3140-3p	1.0068068341175532E-5	5.98161707328664E-5	0.004050134330622377E0	-7.947814526070045E0	-246.90539087535197E0	0.009999999999999787E0	2.469053911050488E0
hsa-miR-548k	1.0405748648274048E-5	6.122217165877741E-5	5.430697128683796E-4	-10.846574973501498E0	-1841.384220670696E0	0.009999999999990905E0	18.4138422300691E0
