microRNA ID	P-value (EV CL1-5 vs. CE CL1-5)	FDR step up (EV CL1-5 vs. CE CL1-5)	Ratio (EV CL1-5 vs. CE CL1-5)	Log2(Ratio) (EV CL1-5 vs. CE CL1-5)	Fold change (EV CL1-5 vs. CE CL1-5)	LSMean(EV CL1-5) (EV CL1-5 vs. CE CL1-5)	LSMean(CE CL1-5) (EV CL1-5 vs. CE CL1-5)
hsa-miR-488-3p	2.9358998807742385E-5	1.955115744779328E-4	0.0049338409442485145E0	-7.663073077463984E0	-202.68184793547545E0	0.010000000000000231E0	2.026818481172845E0
hsa-miR-137-3p	3.034306290971392E-5	1.9986843612268082E-4	1.2860228071150272E-4	-12.924796151020464E0	-7775.911861495904E0	0.009999999999990905E0	77.75911873253015E0
hsa-miR-624-3p	3.3302024858656604E-5	2.1700029101447206E-4	0.002706549122023542E0	-8.52932971243933E0	-369.4741735381302E0	0.010000000000000231E0	3.694741739070192E0
hsa-miR-548u	3.491064104968106E-5	2.2397769659342684E-4	0.001073497923091156E0	-9.863464884661477E0	-931.5341729963321E0	0.009999999999999787E0	9.315341740718235E0
hsa-miR-25-5p	3.5112015142533906E-5	2.2397769659342684E-4	115.3533874875336E0	6.8499165608498656E0	115.3533874875336E0	9812.058821237748E0	85.06086407242037E0
hsa-miR-4508	3.7121682645492975E-5	2.329788685885322E-4	479.4841204637219E0	8.90533922669156E0	479.4841204637219E0	971.8272777981072E0	2.02681848117345E0
hsa-miR-29b-2-5p	3.729199711730631E-5	2.329788685885322E-4	0.003619404614197304E0	-8.110031888676762E0	-276.2885354341009E0	0.010000000000000231E0	2.7628853569639134E0
hsa-miR-597-5p	4.828860584449137E-5	2.986009708343038E-4	0.004142519006068203E0	-7.915275968048808E0	-241.3990131451761E0	0.010000000000000231E0	2.4139901336884146E0
hsa-miR-548o-3p	4.959837184874557E-5	3.036021549529274E-4	0.0018384996292474714E0	-9.087255399055275E0	-543.92178496621E0	0.009999999999999787E0	5.439217855447681E0
hsa-miR-10b-3p	5.2067417150787296E-5	3.15528547933771E-4	0.0021262341042518106E0	-8.87748383433618E0	-470.3150974769473E0	0.009999999999999787E0	4.703150979656632E0
hsa-miR-643	5.321491643751004E-5	3.192894986250603E-4	0.0022966037297203275E0	-8.766282338040543E0	-435.4255751913181E0	0.009999999999999787E0	4.354255756381116E0
hsa-miR-200c-5p	6.042895058904239E-5	3.590190593819577E-4	0.001994507219491942E0	-8.969751939123011E0	-501.3769768427956E0	0.009999999999999787E0	5.013769773692038E0
hsa-miR-5187-5p	6.468016719437289E-5	3.8054544970669873E-4	0.004842392453043363E0	-7.690064276966025E0	-206.50949085539662E0	0.010000000000000231E0	2.0650949104129173E0
hsa-miR-320a-3p	8.720362829361012E-5	5.08128834095459E-4	17.53813669363301E0	4.132423574388895E0	17.53813669363301E0	7340.58612648795E0	418.5499435411566E0
hsa-miR-487a-5p	1.0142389943036117E-4	5.771073058141825E-4	0.0026249674673898713E0	-8.57348474185519E0	-380.957102296718E0	0.010000000000000231E0	3.8095710267904077E0
hsa-miR-5583-3p	1.0159378144997367E-4	5.771073058141825E-4	0.0037225473820125202E0	-8.069494072561374E0	-268.6332495946284E0	0.010000000000000231E0	2.6863324984837678E0
hsa-miR-1305	1.0189848468996291E-4	5.771073058141825E-4	0.0012626643914735358E0	-9.6293130541647E0	-791.9760838689645E0	0.009999999999999787E0	7.919760847616239E0
hsa-miR-3909	1.056079263411862E-4	5.925778089144338E-4	0.002678797573205499E0	-8.544198718474885E0	-373.3018164576659E0	0.010000000000000231E0	3.7330181683102626E0
hsa-let-7c-5p	1.0823321414016496E-4	6.017369520086236E-4	8.020714543555254E0	3.003730768166938E0	8.020714543555254E0	1077.9195215588106E0	134.3919566425584E0
hsa-miR-30c-2-3p	1.3196022889126822E-4	7.269808973464413E-4	0.0011976598282668163E0	-9.705566087521918E0	-834.9616280001158E0	0.009999999999999787E0	8.34961628948678E0
hsa-miR-29c-3p	1.567458925397329E-4	8.557478457574606E-4	0.19998027171887617E0	-2.32207041137334E0	-5.00049325568353E0	1113.7665985406265E0	5569.382365921791E0
hsa-miR-99b-5p	1.8264206039886874E-4	9.882240053724505E-4	2.9297969409793034E0	1.5508006774823586E0	2.9297969409793034E0	13364.81428776796E0	4561.686203711648E0
hsa-miR-6733-5p	1.8546679972300883E-4	9.946272622313572E-4	0.002218592866239819E0	-8.816139341664156E0	-450.73614686900595E0	0.009999999999999787E0	4.507361473341403E0
hsa-miR-7704	1.998267644456263E-4	0.0010622370110004347E0	2393.5019875449507E0	11.224907288722713E0	2393.5019875449507E0	8008.290296173223E0	3.3458465158264517E0
hsa-miR-744-5p	2.2240696612094298E-4	0.0011719880127764473E0	9.12290287582467E0	3.189492957963267E0	9.12290287582467E0	3165.5666881083744E0	346.99116388876155E0
hsa-miR-124-5p	2.2637458026521245E-4	0.0011826120313855066E0	0.00595974813602752E0	-7.390532922193103E0	-167.7923256445786E0	0.010000000000000009E0	1.6779232578973458E0
hsa-miR-2116-5p	2.3485887446297507E-4	0.0012164485292697684E0	0.003294645715694755E0	-8.245660948925181E0	-303.52277188296284E0	0.010000000000000231E0	3.035227721759266E0
hsa-miR-194-3p	2.459648755642927E-4	0.0012631755473895031E0	0.005959748136027531E0	-7.3905329221931E0	-167.79232564457828E0	0.010000000000000009E0	1.6779232578973422E0
hsa-miR-4775	2.7884811928528846E-4	0.001420016472999032E0	0.002059199221781628E0	-8.923700871218106E0	-485.62566915443745E0	0.009999999999999787E0	4.856256696616901E0
hsa-miR-495-3p	3.03102411691456E-4	0.0015306671790418528E0	12.676902377707012E0	3.664130358482132E0	12.676902377707012E0	47.32310691417293E0	3.7330181683102737E0
hsa-miR-106b-3p	3.155426203247176E-4	0.0015803208918742054E0	17.15467252952834E0	4.100529681025732E0	17.15467252952834E0	6485.427924637264E0	378.0560608406249E0
hsa-miR-1307-3p	3.414516930380385E-4	0.0016960633277135356E0	22.686744972277936E0	4.503777725086616E0	22.686744972277936E0	1260.127394424357E0	55.54465373061885E0
hsa-miR-99a-5p	3.501000835371886E-4	0.0017248833384027342E0	18.47185036422863E0	4.207256486253016E0	18.47185036422863E0	174.27412032876134E0	9.43457838855295E0
hsa-miR-100-5p	3.552027876044849E-4	0.0017359103974864342E0	2.667431171598068E0	1.4154510453045308E0	2.667431171598068E0	36585.93350214439E0	13715.792889292774E0
hsa-miR-675-5p	3.894293134261524E-4	0.00187296955504959E0	0.0028896090179024933E0	-8.434909984355642E0	-346.0675800097963E0	0.010000000000000231E0	3.4606758035149094E0
hsa-miR-103a-2-5p	3.894293134261524E-4	0.00187296955504959E0	0.0028896090179024933E0	-8.434909984355642E0	-346.0675800097963E0	0.010000000000000231E0	3.4606758035149094E0
hsa-miR-423-5p	4.5480805111691974E-4	0.0021701864486366406E0	14.008864196350668E0	3.808268085294348E0	14.008864196350668E0	9655.1311931673E0	689.2158460197279E0
hsa-miR-342-3p	4.7729475793798637E-4	0.002259692369612654E0	11.698698880500572E0	3.548276178283107E0	11.698698880500572E0	1437.913792148691E0	122.91228334359357E0
hsa-let-7b-3p	4.934060644900736E-4	0.0023178610471394153E0	13.389534670583924E0	3.74303391812567E0	13.389534670583924E0	63.48550670729422E0	4.741427408896669E0
hsa-miR-1268b	5.571274160735324E-4	0.002597070878004313E0	16.833876281705002E0	4.073295514483568E0	16.833876281705002E0	63.48550670729422E0	3.771294597550323E0
hsa-miR-19b-3p	5.649348663444197E-4	0.002613362816829911E0	0.10205092582851476E0	-3.2926388240096442E0	-9.799029179611647E0	1629.7892994553167E0	15970.352908136718E0
hsa-miR-191-5p	5.961408694493184E-4	0.0027368285370173253E0	3.7704210883043445E0	1.9147256556116214E0	3.7704210883043445E0	50284.002828522396E0	13336.442174384938E0
hsa-miR-130a-3p	6.268337469086232E-4	0.0028560996287716215E0	0.20840091295934843E0	-2.262566497121999E0	-4.79844347032714E0	2167.56996776953E0	10400.961961075529E0
hsa-miR-665	6.3562209861815E-4	0.002874529789273126E0	8.340612231874756E0	3.0601532867240597E0	8.340612231874756E0	79.6479065004155E0	9.54940767627349E0
hsa-miR-92a-3p	6.853660909739847E-4	0.0030765322305943313E0	3.122045520312294E0	1.642491572373492E0	3.122045520312294E0	14099.166833249565E0	4516.002966263135E0
hsa-miR-7977	7.107445927213443E-4	0.0031669942881554017E0	12.71717575365864E0	3.6687064055571637E0	12.71717575365864E0	697.0664813150454E0	54.81299421494259E0
hsa-miR-370-3p	7.62451888999908E-4	0.0033725974068171114E0	11.169087570100768E0	3.48143942825939E0	11.169087570100768E0	1254.531826817954E0	112.3217826373791E0
hsa-miR-4443	7.874432444364893E-4	0.0034579029429602356E0	29.369302167258645E0	4.876237081633006E0	29.369302167258645E0	191.61061258707358E0	6.524179954514409E0
hsa-miR-29b-3p	7.986222669712294E-4	0.0034817632646371587E0	0.12000556333240261E0	-3.0588268056700496E0	-8.33294700871581E0	2811.717774564E0	23429.895227295194E0
hsa-miR-1260a	8.94557047319215E-4	0.0038721540762531735E0	57.292336992593206E0	5.84027028234956E0	57.292336992593206E0	613.9062974190572E0	10.715329993935143E0
