microRNA ID	P-value (CE CL1-5 vs. CE CL1-0)	FDR step up (CE CL1-5 vs. CE CL1-0)	Ratio (CE CL1-5 vs. CE CL1-0)	Log2(Ratio) (CE CL1-5 vs. CE CL1-0)	Fold change (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-5) (CE CL1-5 vs. CE CL1-0)	LSMean(CE CL1-0) (CE CL1-5 vs. CE CL1-0)
hsa-miR-196a-3p	0.0010879354456460643E0	0.0087905184008202E0	0.32615824473193794E0	-1.6163559970007004E0	-3.0659963871889158E0	3.073504150999339E0	9.423352624757019E0
hsa-miR-98-3p	0.0012916049978285256E0	0.01029885037742219E0	4.254492322421234E0	2.088986989109206E0	4.254492322421234E0	41.89064887340431E0	9.846215644201948E0
hsa-miR-22-5p	0.0017457688788136813E0	0.013739427799494686E0	3.8994503842273835E0	1.9632707947883925E0	3.8994503842273835E0	47.98378810627777E0	12.305269555252444E0
hsa-miR-127-3p	0.001935261732171423E0	0.014845172274631424E0	3287.542133612319E0	11.682793668972433E0	3287.542133612319E0	2813.235411526444E0	0.8557260388897703E0
hsa-miR-155-5p	0.0024034942836962435E0	0.018206469198999046E0	53.50997147326375E0	5.741735854710736E0	53.50997147326375E0	448.90243815433064E0	8.389136183279788E0
hsa-let-7g-5p	0.002493066644718685E0	0.018651831934562015E0	4.995561621187182E0	2.320646880731251E0	4.995561621187182E0	9319.235766790523E0	1865.5031147517593E0
hsa-miR-2278	0.002605426474330469E0	0.019254737115173955E0	0.22322977593911705E0	-2.16339861819256E0	-4.479689126564982E0	2.0650949104129186E0	9.250983217844107E0
hsa-let-7f-5p	0.0027173803259111793E0	0.0198401503313515E0	2.956288606144177E0	1.5637871187155685E0	2.956288606144177E0	22068.02590174642E0	7464.773855922602E0
hsa-miR-221-3p	0.0027838321770771862E0	0.02000705988466696E0	3.687896451491852E0	1.8827981484417513E0	3.687896451491852E0	33059.348647221355E0	8964.283318356742E0
hsa-miR-3688-3p	0.0028062707759021308E0	0.02000705988466696E0	0.2156587951041447E0	-2.213177540909117E0	-4.636954405300678E0	2.724608927723841E0	12.633887373403573E0
hsa-let-7e-5p	0.0031154882768444276E0	0.021953324369392128E0	2.874994794220147E0	1.5235593437580295E0	2.874994794220147E0	12258.876754468012E0	4263.964852015339E0
hsa-let-7a-2-3p	0.0032934677515119833E0	0.022706920340605653E0	11.572346181944061E0	3.5326094815377918E0	11.572346181944061E0	245.53781696227702E0	21.217634954945424E0
hsa-miR-652-5p	0.003297374570913032E0	0.022706920340605653E0	0.31449382100211426E0	-1.6688964227658805E0	-3.179712710455056E0	9.549407676273523E0	30.36437297149572E0
hsa-miR-22-3p	0.003801203504550201E0	0.025882351952330584E0	3.3260971793114926E0	1.7338303207787054E0	3.3260971793114926E0	652.2786536902017E0	196.10931923908583E0
hsa-miR-561-5p	0.003937138995435846E0	0.02627614056583074E0	0.10109503934155817E0	-3.3062158878830132E0	-9.891682188494087E0	31.423792175139354E0	310.83416547406057E0
hsa-miR-3143	0.003945757081667652E0	0.02627614056583074E0	0.42007214238164475E0	-1.2512909800471017E0	-2.3805434807706867E0	4.741427408896682E0	11.287174109449662E0
hsa-miR-369-5p	0.004237766138137606E0	0.02791398130121075E0	500.8448855082129E0	8.968220051562653E0	500.8448855082129E0	303.1275656033083E0	0.6052324263579294E0
hsa-miR-548a-5p	0.004816173685525187E0	0.030995325288610345E0	2.2847704715803174E0	1.1920492391803135E0	2.2847704715803174E0	12.225740174757282E0	5.350970841545909E0
hsa-miR-4677-3p	0.00490890335391244E0	0.030995325288610345E0	0.4105313965353762E0	-1.2844355345315674E0	-2.435867289175356E0	8.813340800482445E0	21.468128567477436E0
hsa-miR-3912-3p	0.0049226682981090225E0	0.030995325288610345E0	3.440897197176805E0	1.7827847896806055E0	3.440897197176805E0	6.447627096034103E0	1.8738214846926438E0
hsa-miR-3129-3p	0.004937733953350425E0	0.030995325288610345E0	0.005853399716213624E0	-7.41650948405499E0	-170.84088708824208E0	0.3588952232755085E0	61.313978369349286E0
hsa-miR-194-3p	0.00496129794223631E0	0.030995325288610345E0	0.09019961591447943E0	-3.470734899525283E0	-11.086521709229068E0	1.6779232578973422E0	18.602332632656704E0
hsa-let-7b-3p	0.005088157859112733E0	0.0314635067614522E0	4.611855277668703E0	2.2053472412061628E0	4.611855277668703E0	4.741427408896669E0	1.0280954458027765E0
hsa-miR-98-5p	0.0056936341928646005E0	0.034851942635110586E0	9.892085404852773E0	3.3062746955128963E0	9.892085404852773E0	1029.3738388964666E0	104.06034687014574E0
hsa-miR-203a-3p	0.006486317545330664E0	0.03898973168584357E0	35.72389781211389E0	5.15881759548691E0	35.72389781211389E0	2119.8486199993204E0	59.33979068768895E0
