microRNA ID	P-value (EV CL1-5 vs. EV CL1-0)	FDR step up (EV CL1-5 vs. EV CL1-0)	Ratio (EV CL1-5 vs. EV CL1-0)	Log2(Ratio) (EV CL1-5 vs. EV CL1-0)	Fold change (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-5) (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-0) (EV CL1-5 vs. EV CL1-0)
hsa-miR-766-5p	1.9072331214951563E-5	1.6750482197479198E-4	7847.381391645171E0	12.937995603183913E0	7847.381391645171E0	78.47381403522459E0	0.009999999999990905E0
hsa-miR-139-3p	2.0003694529773362E-5	1.731748412148951E-4	12578.692074863442E0	13.61869429896806E0	12578.692074863442E0	125.78692094939751E0	0.010000000000019327E0
hsa-miR-148a-5p	2.3195380425405987E-5	1.9797747236332435E-4	18808.83348785223E0	14.19912275613642E0	18808.83348785223E0	188.0883351915008E0	0.010000000000019327E0
hsa-miR-671-3p	2.4403748117215275E-5	2.0539821331989522E-4	40731.73767742864E0	15.313865742752386E0	40731.73767742864E0	407.31737750405324E0	0.009999999999990905E0
hsa-miR-331-5p	2.6244978198066705E-5	2.1582497985464966E-4	7847.381391645171E0	12.937995603183913E0	7847.381391645171E0	78.47381403522459E0	0.009999999999990905E0
hsa-miR-485-5p	2.659108014220054E-5	2.1582497985464966E-4	10962.452098416677E0	13.420282918226054E0	10962.452098416677E0	109.62452115627622E0	0.009999999999990905E0
hsa-miR-628-3p	2.671101235824872E-5	2.1582497985464966E-4	7964.7906379665765E0	12.95942072431134E0	7964.7906379665765E0	79.6479065004155E0	0.009999999999990905E0
hsa-miR-30a-3p	3.1864481656958694E-5	2.5407731426469696E-4	0.029928287106403127E0	-5.062346478723989E0	-33.41320525443807E0	79.6479065004155E0	2661.2918495616723E0
hsa-let-7e-3p	3.469362172528244E-5	2.730433086431319E-4	21923.90419426883E0	14.420217114898943E0	21923.90419426883E0	219.23904231255244E0	0.009999999999990905E0
hsa-miR-484	3.539125815033862E-5	2.749628517834E-4	46961.87908934804E0	15.51920251582208E0	46961.87908934804E0	469.61879174615655E0	0.009999999999990905E0
hsa-miR-766-3p	3.587125926360916E-5	2.751643432119892E-4	4732.310684652232E0	12.208329076956316E0	4732.310684652232E0	47.32310691417293E0	0.010000000000005116E0
hsa-miR-105-3p	4.376136404689699E-5	3.314923326552447E-4	7964.7906379665765E0	12.95942072431134E0	7964.7906379665765E0	79.6479065004155E0	0.009999999999990905E0
