microRNA ID	P-value (EV CL1-5 vs. EV CL1-0)	FDR step up (EV CL1-5 vs. EV CL1-0)	Ratio (EV CL1-5 vs. EV CL1-0)	Log2(Ratio) (EV CL1-5 vs. EV CL1-0)	Fold change (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-5) (EV CL1-5 vs. EV CL1-0)	LSMean(EV CL1-0) (EV CL1-5 vs. EV CL1-0)
hsa-miR-3613-5p	0.18120674466687836E0	0.3425296946420814E0	1.7946778579425998E-4	-12.4439874739175E0	-5572.0306325414285E0	0.010000000000019327E0	55.720306406685225E0
hsa-miR-664a-5p	0.18124883082872592E0	0.3425296946420814E0	3233.4799542098135E0	11.658871951163004E0	3233.4799542098135E0	32.334799586242575E0	0.010000000000005116E0
hsa-miR-326	0.18125679143220613E0	0.3425296946420814E0	6231.1414150219525E0	12.605280743731711E0	6231.1414150219525E0	62.311414242103304E0	0.009999999999990905E0
hsa-miR-590-3p	0.18126727396897765E0	0.3425296946420814E0	6465.959907820511E0	12.658648846724315E0	6465.959907820511E0	64.65959917248529E0	0.009999999999763531E0
hsa-miR-3613-3p	0.18132565962083774E0	0.3425296946420814E0	3116.070707870474E0	11.605512255140201E0	3116.070707870474E0	31.160707121051647E0	0.010000000000005116E0
hsa-miR-106b-5p	0.18138522352473235E0	0.3425296946420814E0	4849.71993099031E0	12.243685719417908E0	4849.71993099031E0	48.49719937936386E0	0.009999999999990905E0
hsa-miR-188-5p	0.18140283331636112E0	0.3425296946420814E0	1.7946778579400495E-4	-12.44398747391955E0	-5572.030632549347E0	0.010000000000005116E0	55.72030640668524E0
hsa-miR-590-5p	0.18150112802053062E0	0.3425296946420814E0	1.7946778579374991E-4	-12.4439874739216E0	-5572.030632557265E0	0.009999999999990905E0	55.72030640668527E0
hsa-miR-6514-5p	0.18161678766612685E0	0.3425296946420814E0	1.794677857939173E-4	-12.443987473920256E0	-5572.030632552068E0	0.010000000000000231E0	55.72030640668523E0
hsa-miR-29c-5p	0.18166071583610194E0	0.3425296946420814E0	1617.239977291145E0	10.659318056460531E0	1617.239977291145E0	16.17239979312128E0	0.010000000000019327E0
hsa-miR-301b-3p	0.1816642308888462E0	0.3425296946420814E0	1.7946778579374991E-4	-12.4439874739216E0	-5572.030632557265E0	0.009999999999990905E0	55.72030640668524E0
hsa-miR-1-3p	0.1816957381502434E0	0.3425296946420814E0	1617.2399772957413E0	10.659318056464631E0	1617.2399772957413E0	16.17239979312128E0	0.009999999999990905E0
hsa-miR-642a-5p	0.18169908217559827E0	0.3425296946420814E0	8082.19988426473E0	12.98053231651896E0	8082.19988426473E0	80.82199896560641E0	0.010000000000019327E0
hsa-miR-340-3p	0.18172429792246866E0	0.3425296946420814E0	1617.239977294592E0	10.659318056463606E0	1617.239977294592E0	16.172399793121283E0	0.00999999999999801E0
hsa-miR-628-5p	0.18179395459117664E0	0.3425296946420814E0	4849.71993099031E0	12.243685719417908E0	4849.71993099031E0	48.497199379363856E0	0.009999999999990905E0
hsa-miR-503-5p	0.1820032975697829E0	0.3425296946420814E0	1.950812136316104E0	0.9640748527522551E0	1.950812136316104E0	652.1015593312543E0	334.2718384401114E0
hsa-miR-548a-3p	0.18203188683757715E0	0.3425296946420814E0	3233.4799542052183E0	11.658871951160954E0	3233.4799542052183E0	32.33479958624257E0	0.010000000000019327E0
hsa-miR-485-3p	0.18216204872515115E0	0.3425296946420814E0	1.9991034246141914E0	0.9993531125618811E0	1.9991034246141914E0	222.7613197081252E0	111.43061281337049E0
hsa-miR-548ay-3p	0.1822606512690446E0	0.3425296946420814E0	3116.070707874902E0	11.605512255142251E0	3116.070707874902E0	31.160707121051647E0	0.009999999999990905E0
hsa-miR-544a	0.18241212394606846E0	0.3425296946420814E0	1617.239977294592E0	10.659318056463606E0	1617.239977294592E0	16.172399793121283E0	0.00999999999999801E0
hsa-miR-130b-5p	0.18249062090755647E0	0.3425296946420814E0	1.9884781824407258E0	0.9916647329969105E0	1.9884781824407258E0	110.79861362146715E0	55.72030640668525E0
hsa-miR-542-5p	0.18261559869476307E0	0.3425296946420814E0	1617.2399772957413E0	10.659318056464631E0	1617.2399772957413E0	16.172399793121286E0	0.009999999999990905E0
hsa-miR-569	0.1829117429593272E0	0.3425296946420814E0	1.794677857939173E-4	-12.443987473920256E0	-5572.030632552068E0	0.010000000000000231E0	55.72030640668524E0
hsa-miR-181c-3p	0.18304500587776856E0	0.3425296946420814E0	1617.2399772957413E0	10.659318056464631E0	1617.2399772957413E0	16.172399793121283E0	0.009999999999990905E0
hsa-miR-1275	0.18314522359202937E0	0.3425296946420814E0	1.794677857939173E-4	-12.443987473920256E0	-5572.030632552068E0	0.010000000000000231E0	55.72030640668524E0
hsa-miR-147b-5p	0.18389944397905675E0	0.3425296946420814E0	1.794677857939173E-4	-12.443987473920256E0	-5572.030632552068E0	0.010000000000000231E0	55.72030640668524E0
hsa-miR-449a	0.1839316634504812E0	0.3425296946420814E0	1617.239977291145E0	10.659318056460531E0	1617.239977291145E0	16.172399793121283E0	0.010000000000019327E0
hsa-miR-199b-5p	0.18401569474042292E0	0.3425296946420814E0	2.2996123697982123E0	1.2013906962565313E0	2.2996123697982123E0	128.13510587977936E0	55.72030640668527E0
hsa-miR-497-3p	0.1840795740249277E0	0.3425296946420814E0	1.794677857939173E-4	-12.443987473920256E0	-5572.030632552068E0	0.010000000000000231E0	55.72030640668523E0
hsa-miR-3150a-5p	0.18440905990167739E0	0.3425296946420814E0	1.794677857939173E-4	-12.443987473920256E0	-5572.030632552068E0	0.010000000000000231E0	55.72030640668524E0
hsa-miR-3064-5p	0.18449892446775895E0	0.3425296946420814E0	1617.239977294592E0	10.659318056463606E0	1617.239977294592E0	16.172399793121283E0	0.00999999999999801E0
hsa-miR-1255a	0.18461235448494748E0	0.3425296946420814E0	4849.719930983418E0	12.243685719415858E0	4849.719930983418E0	48.497199379363856E0	0.010000000000005116E0
hsa-miR-652-3p	0.18483037978211322E0	0.3425296946420814E0	6231.1414150219525E0	12.605280743731711E0	6231.1414150219525E0	62.311414242103304E0	0.009999999999990905E0
hsa-miR-4676-3p	0.18608170288943895E0	0.34379729253353664E0	3116.070707870474E0	11.605512255140201E0	3116.070707870474E0	31.160707121051647E0	0.010000000000005116E0
hsa-miR-1468-5p	0.187811960843135E0	0.34593935644662555E0	4849.719930983418E0	12.243685719415858E0	4849.719930983418E0	48.497199379363856E0	0.010000000000005116E0
hsa-miR-143-3p	0.18900198065253312E0	0.3463745153350444E0	0.10529065342670937E0	-3.247550719809693E0	-9.497519176249382E0	481.35971639806576E0	4571.723138902485E0
hsa-let-7f-5p	0.18998031130766152E0	0.3463745153350444E0	1.3605694382505054E0	0.444210588093106E0	1.3605694382505054E0	12112.91554059994E0	8902.827889141445E0
hsa-miR-579-5p	0.19020509141200884E0	0.3463745153350444E0	1617.239977293443E0	10.659318056462581E0	1617.239977293443E0	16.172399793121283E0	0.010000000000005116E0
hsa-miR-128-1-5p	0.19033451090193032E0	0.3463745153350444E0	1.9780303561779122E0	0.9840645668307352E0	1.9780303561779122E0	220.41313477774338E0	111.43061281337049E0
hsa-miR-148b-3p	0.1929060641256933E0	0.350003218144222E0	1.378372120718332E0	0.46296542667828017E0	1.378372120718332E0	3764.749572919053E0	2731.3013054508483E0
hsa-miR-9-3p	0.1948989670904678E0	0.3525635046472343E0	2.1982415887406948E0	1.1363499484914499E0	2.1982415887406948E0	337.07221072516506E0	153.33720024532334E0
hsa-miR-382-5p	0.1958030267057691E0	0.35314474459433354E0	1.5700345882447513E0	0.650796342390478E0	1.5700345882447513E0	1224.555212162093E0	779.9542896935934E0
hsa-miR-17-3p	0.19681712998838413E0	0.35392041772391925E0	1.6482493089628834E0	0.7209344765024681E0	1.6482493089628834E0	252.73793436398591E0	153.33720024532354E0
hsa-miR-1246	0.19763552889271996E0	0.35434062280765766E0	0.14165224330101064E0	-2.8195746454931565E0	-7.059542275479553E0	844.6013696639673E0	5962.49907703859E0
hsa-let-7f-2-3p	0.20040564355061477E0	0.35824725661260337E0	3.085516689567941E0	1.6255120981464029E0	3.085516689567941E0	171.92593539837952E0	55.72030640668521E0
hsa-miR-379-5p	0.20378474138613498E0	0.36230346780845113E0	1.7611315443849938E0	0.8165026725672704E0	1.7611315443849938E0	784.9230350717976E0	445.6924512534822E0
hsa-let-7i-3p	0.2038704332057456E0	0.36230346780845113E0	1.6984151725433827E0	0.7641891645185066E0	1.6984151725433827E0	94.63621382834586E0	55.72030640668527E0
hsa-miR-30e-5p	0.2048032855061576E0	0.36289704975652487E0	0.5134785519623067E0	-0.9616240785656117E0	-1.947501012804538E0	429.35023962312914E0	836.160026608035E0
hsa-miR-181b-5p	0.2063058506739747E0	0.3644937186834655E0	8.974919467711127E-6	-16.7656695756871E0	-111421.61259470665E0	0.010000000000000009E0	1114.2161281337048E0
hsa-miR-582-3p	0.21246202168492892E0	0.3734215337016282E0	1.4294233401066523E0	0.5154332503897412E0	1.4294233401066523E0	79.6479065004155E0	55.72030640668521E0
hsa-miR-454-3p	0.21259146720637248E0	0.3734215337016282E0	1.2791616161709372E0	0.3551985536004669E0	1.2791616161709372E0	285.0627339502285E0	222.8512256267411E0
hsa-miR-363-5p	0.21328853884235494E0	0.37356316340597423E0	3.589871129831352E-5	-14.765708419717258E0	-27856.153155196378E0	0.010000000000000009E0	278.56153203342615E0
hsa-miR-331-3p	0.2171894115364123E0	0.3789902450736467E0	0.6582397638344066E0	-0.6033149135270205E0	-1.519203267476211E0	174.27412032876134E0	264.75781305869396E0
hsa-miR-1185-1-3p	0.21798731634196591E0	0.3789902450736467E0	1.7946778579425998E-4	-12.4439874739175E0	-5572.0306325414285E0	0.010000000000019327E0	55.72030640668525E0
hsa-miR-103a-3p	0.21828931329771203E0	0.3789902450736467E0	1.31776006411222E0	0.3980877103860535E0	1.31776006411222E0	10320.063256028669E0	7831.519209455208E0
hsa-miR-655-3p	0.21888875540557154E0	0.3789902450736467E0	4849.71993099031E0	12.243685719417908E0	4849.71993099031E0	48.497199379363856E0	0.009999999999990905E0
hsa-miR-23a-5p	0.22061359486668888E0	0.3794281772904325E0	1.9674070049728911E0	0.9762954443044546E0	1.9674070049728911E0	109.62452115627622E0	55.72030640668523E0
hsa-miR-323a-3p	0.22185576837562773E0	0.3794281772904325E0	1.2738808228081804E0	0.3492303133979201E0	1.2738808228081804E0	141.9493207425188E0	111.43061281337043E0
hsa-miR-3934-3p	0.222061305209466E0	0.3794281772904325E0	3233.4799542098135E0	11.658871951163004E0	3233.4799542098135E0	32.334799586242575E0	0.010000000000005116E0
hsa-miR-192-5p	0.2222000919977874E0	0.3794281772904325E0	0.5984115227665527E0	-0.7407901394510656E0	-1.6710908161942457E0	225.10950463850708E0	376.1784258720645E0
hsa-miR-4772-3p	0.22227228207607846E0	0.3794281772904325E0	3233.4799542098135E0	11.658871951163004E0	3233.4799542098135E0	32.334799586242575E0	0.010000000000005116E0
hsa-miR-3679-5p	0.22459594431288155E0	0.38231781531911857E0	6.521574673514806E-5	-13.904420120504687E0	-15333.719999575647E0	0.010000000000000009E0	153.33720024532352E0
hsa-miR-3180-5p	0.2263744265820693E0	0.38426583335779835E0	1.1365416875107552E0	0.18465060211619302E0	1.1365416875107552E0	174.27412032876134E0	153.33720024532352E0
hsa-miR-26a-2-3p	0.22774091429219098E0	0.3855055700029825E0	1.1441986191821838E0	0.1943375084424967E0	1.1441986191821838E0	175.44821279395228E0	153.33720024532352E0
hsa-miR-369-3p	0.2301125350995202E0	0.3876568859075253E0	1.4399984116114244E0	0.5260672203053759E0	1.4399984116114244E0	160.4599054660219E0	111.43061281337043E0
hsa-miR-29a-5p	0.23029121935100513E0	0.3876568859075253E0	1.1393603301915545E0	0.18822408099626411E0	1.1393603301915545E0	63.48550670729422E0	55.720306406685246E0
hsa-miR-16-1-3p	0.23446277704270846E0	0.39358571437086237E0	1.0311373905474934E0	0.04423657272139145E0	1.0311373905474934E0	158.11172053564007E0	153.33720024532352E0
hsa-miR-155-5p	0.23992778844009638E0	0.40164707125607296E0	2.2841396046279887E0	1.1916508296628623E0	2.2841396046279887E0	1622.7447446641706E0	710.4402643121762E0
hsa-miR-889-3p	0.24236345423710057E0	0.4046067583131761E0	0.9530030931109825E0	-0.06944719826669532E0	-1.0493145376219093E0	159.285813000831E0	167.1409192200556E0
hsa-miR-629-5p	0.2436432459651394E0	0.4056258435573475E0	0.9611027040933422E0	-0.05723748827017715E0	-1.040471528943779E0	267.7262416919163E0	278.56153203342615E0
hsa-miR-548h-5p	0.24663681339191998E0	0.40948468196028354E0	1.794677857939173E-4	-12.443987473920256E0	-5572.030632552068E0	0.010000000000000231E0	55.72030640668524E0
hsa-miR-376c-3p	0.2479539893859847E0	0.4105467693112205E0	0.8279801190846572E0	-0.27233196779358126E0	-1.2077584678065858E0	253.91202682917685E0	306.66440049064704E0
hsa-miR-550a-3p	0.24949856795532063E0	0.41197856180088366E0	1617.239977294592E0	10.659318056463606E0	1617.239977294592E0	16.172399793121283E0	0.00999999999999801E0
hsa-miR-769-3p	0.25239363718737645E0	0.4156264786292123E0	1.180541911365387E0	0.23944926074967632E0	1.180541911365387E0	328.85356346882867E0	278.56153203342615E0
hsa-miR-337-5p	0.25325233654799384E0	0.4158870453673519E0	0.7996844291113533E0	-0.32249729785479786E0	-1.25049327409219E0	222.76131970812514E0	278.5615320334261E0
hsa-miR-376b-3p	0.25416679908454376E0	0.4158870453673519E0	1.3285377239622131E0	0.40983919388074197E0	1.3285377239622131E0	518.1059911255204E0	389.9821448467965E0
hsa-miR-15a-5p	0.25461071589321377E0	0.4158870453673519E0	0.7820200218593092E0	-0.3547225499284453E0	-1.2787396384333327E0	174.27412032876123E0	222.85122562674042E0
hsa-miR-598-3p	0.2553876285172669E0	0.416034685165225E0	0.7628105057625871E0	-0.39060338166771974E0	-1.310941567329743E0	350.88642558790457E0	459.99160073597045E0
hsa-miR-30b-5p	0.26064236371244603E0	0.42345649439609195E0	1.4517809718849541E0	0.5378238124171822E0	1.4517809718849541E0	1294.8003789409813E0	891.87033301472E0
hsa-miR-26b-5p	0.26497721251656037E0	0.4281867233994934E0	0.7472471338025038E0	-0.4203426366833492E0	-1.3382453471735876E0	1853.439816909081E0	2480.3572113668843E0
hsa-miR-140-5p	0.2657557574816441E0	0.4281867233994934E0	0.7829334333956449E0	-0.35303844304465504E0	-1.2772477931654036E0	240.09781196643746E0	306.6644004906471E0
hsa-miR-491-5p	0.2659950671880977E0	0.4281867233994934E0	1.0234804588759299E0	0.03348355751333249E0	1.0234804588759299E0	156.93762807044916E0	153.33720024532352E0
hsa-miR-374a-5p	0.2663801893095858E0	0.4281867233994934E0	1.5561776522817448E0	0.6380067669024496E0	1.5561776522817448E0	910.6999560211943E0	585.2159325240718E0
hsa-miR-34c-5p	0.2677727306744427E0	0.42928644123997955E0	0.7225814313179098E0	-0.46876791358748987E0	-1.3839270657372265E0	110.79861362146715E0	153.33720024532352E0
hsa-miR-365a-5p	0.270089123569556E0	0.430736822521949E0	0.7225814313179098E0	-0.46876791358748987E0	-1.3839270657372265E0	110.79861362146715E0	153.33720024532352E0
hsa-miR-502-3p	0.27009899762102413E0	0.430736822521949E0	0.8203287966152933E0	-0.2857258215338399E0	-1.219023401501979E0	125.78692094939751E0	153.33720024532352E0
hsa-miR-362-5p	0.2786647977594065E0	0.4432306232078749E0	0.7302383629899215E0	-0.45356063230261257E0	-1.3694158656709763E0	111.97270608665806E0	153.33720024532352E0
hsa-miR-342-3p	0.28071843386584294E0	0.4453281961327247E0	1.4331972176570167E0	0.5192371478823862E0	1.4331972176570167E0	1437.913792148691E0	1003.2909458280908E0
hsa-miR-196b-5p	0.2872498717123502E0	0.4544997970174523E0	0.6625064689714469E0	-0.5939935532185606E0	-1.5094192235624775E0	304.74741113892253E0	459.9916007359705E0
hsa-miR-323b-3p	0.30310441278920186E0	0.47833665143295917E0	0.8492837959121529E0	-0.23568137086178584E0	-1.1774627101250343E0	94.63621382834586E0	111.43061281337044E0
hsa-miR-425-3p	0.3051049702737589E0	0.48024314801531914E0	0.7923127855172405E0	-0.33585801176571967E0	-1.2621278089652137E0	507.8140536583537E0	640.9262389307585E0
hsa-miR-320d	0.3065224516588858E0	0.4812243671121368E0	0.8422547209762926E0	-0.2476714849745864E0	-1.187289278522367E0	140.77522827732787E0	167.1409192200557E0
hsa-miR-6807-5p	0.30997902755749057E0	0.48539351602025654E0	0.7525800476771699E0	-0.41008305355328195E0	-1.328762306530035E0	125.78692094939751E0	167.1409192200557E0
hsa-miR-30d-3p	0.31103357379005814E0	0.485789550816431E0	0.7149244996458841E0	-0.48413720227994644E0	-1.398749099373877E0	109.62452115627622E0	153.33720024532352E0
hsa-miR-128-3p	0.3132359207800296E0	0.4879716400840564E0	1.4940193424089423E0	0.5791988261839245E0	1.4940193424089423E0	1644.7776067832467E0	1100.9078396667283E0
hsa-miR-223-3p	0.31685579935357383E0	0.49234516514939936E0	0.16895885405803926E0	-2.5652561399409906E0	-5.9186007479459395E0	409.66556243443506E0	2424.646904960199E0
hsa-miR-409-5p	0.32757160613345704E0	0.5076941005546675E0	0.6699299406557101E0	-0.5779178643220548E0	-1.4926933986876685E0	111.97270608665806E0	167.1409192200557E0
hsa-miR-107	0.33226361373497987E0	0.5104436779361826E0	1.447411344654016E0	0.5334749844528544E0	1.447411344654016E0	766.4124503482942E0	529.505626117388E0
hsa-miR-194-5p	0.3322820012471333E0	0.5104436779361826E0	0.5117728373711791E0	-0.9664245173220886E0	-1.9539919413009392E0	78.47381403522459E0	153.33720024532352E0
hsa-miR-6821-5p	0.3324604690107324E0	0.5104436779361826E0	0.7290189749024706E0	-0.45597172938668024E0	-1.3717064087855624E0	203.07664251943118E0	278.56153203342615E0
hsa-miR-3182	0.3327149385887659E0	0.5104436779361826E0	0.775294315786336E0	-0.36718400731240136E0	-1.2898327507867229E0	10996.759403170336E0	14183.98043134059E0
hsa-miR-92b-3p	0.3337461622266736E0	0.5107327634074853E0	1.4548134108415067E0	0.5408341300987434E0	1.4548134108415067E0	750.250050555173E0	515.7019071426557E0
hsa-miR-190b-5p	0.34001872589785515E0	0.5190210274410585E0	0.4246867689786116E0	-1.2355289323435266E0	-2.3546766064905658E0	47.32310691417293E0	111.43061281337046E0
hsa-miR-301b-5p	0.343853282350422E0	0.5235555002622003E0	0.3574039419808206E0	-1.484372548239301E0	-2.7979545901417704E0	79.6479065004155E0	222.85122562674093E0
hsa-miR-127-3p	0.35663707783365983E0	0.5403855135638502E0	5.434166472564676E0	2.442058762369741E0	5.434166472564676E0	1741.4771108224227E0	320.46811946537946E0
hsa-miR-19b-3p	0.35695712111352057E0	0.5403855135638502E0	1.4620726650910894E0	0.5480150150943176E0	1.4620726650910894E0	1629.7892994553167E0	1114.7115586414657E0
hsa-miR-3195	0.35758183323284476E0	0.5403855135638502E0	0.21965689044878084E0	-2.1866763386373544E0	-4.552554659027089E0	2561.6874334369327E0	11662.22206304951E0
hsa-miR-221-5p	0.37236961058126494E0	0.5613332935628024E0	1.9119911394275042E0	0.9350758375793211E0	1.9119911394275042E0	612.7322049538662E0	320.46811946537923E0
hsa-miR-548b-3p	0.3738871822580199E0	0.562222413023226E0	0.3086211750824729E0	-1.6960910435476342E0	-3.240218367170593E0	47.323106914172925E0	153.33720024532352E0
hsa-miR-486-5p	0.3827270589497449E0	0.5740905884246174E0	0.2831329823066967E0	-1.8204482755670763E0	-3.5319092528639957E0	47.32310691417293E0	167.1409192200557E0
hsa-miR-455-3p	0.3939489830654346E0	0.5894644042905021E0	1.4353246592858317E0	0.5213771002216628E0	1.4353246592858317E0	300.0510412781589E0	209.04750665200868E0
hsa-miR-660-5p	0.4086723658605977E0	0.6098341984873282E0	1.3601631731220492E0	0.4437797359850994E0	1.3601631731220492E0	1213.0891822297356E0	891.87033301472E0
hsa-miR-140-3p	0.4095751135055158E0	0.6098341984873282E0	1.7149163284227384E0	0.7781381883430775E0	1.7149163284227384E0	1505.8107739971977E0	878.0666140399879E0
hsa-miR-150-5p	0.4125393766923048E0	0.6127423094988644E0	0.30860151470417474E0	-1.6961829518029583E0	-3.2404247949288245E0	171.92593539837952E0	557.1130640668523E0
hsa-miR-126-3p	0.4236220933874263E0	0.627665008784304E0	0.0803751772865715E0	-3.637106175123559E0	-12.441652183665825E0	7650.294802207189E0	95182.30707209112E0
hsa-miR-130a-3p	0.428329812113375E0	0.6330923564407445E0	1.2250092458651676E0	0.29279263813681516E0	1.2250092458651676E0	2167.56996776953E0	1769.4315165469525E0
hsa-miR-2277-5p	0.4433754405840436E0	0.6537360510801227E0	0.3521354384673393E0	-1.5057976693667292E0	-2.8398164193654436E0	78.47381403522459E0	222.85122562674093E0
hsa-miR-224-5p	0.45509143201414726E0	0.6693820577683817E0	1.2410482443281354E0	0.31155919967462603E0	1.2410482443281354E0	812.5514647972763E0	654.7299579054907E0
hsa-miR-23b-3p	0.4717690125763222E0	0.6922324978722791E0	1.2729949353283243E0	0.3482266794189681E0	1.2729949353283243E0	2998.0722278512076E0	2355.132879578782E0
hsa-miR-671-5p	0.4731344068100982E0	0.6925590592437669E0	0.7939434070968557E0	-0.3328919202780115E0	-1.259535618107358E0	376.1666703830016E0	473.79531971070276E0
hsa-miR-30d-5p	0.47914192954229945E0	0.6996626730183938E0	0.4443232742458765E0	-1.1703183812691995E0	-2.250613591415486E0	1102.3005686082683E0	2480.8526418746405E0
hsa-miR-92b-5p	0.49798569282617156E0	0.7254310813765864E0	0.45703294925154386E0	-1.1296299164568702E0	-2.18802605290853E0	171.92593539837952E0	376.1784258720645E0
hsa-miR-424-5p	0.5050535455330111E0	0.7339627064580448E0	0.8661326793424855E0	-0.20734005242083864E0	-1.1545575220174562E0	555.1271605725267E0	640.9262389307582E0
hsa-miR-148a-3p	0.5555072058568234E0	0.8053525520316627E0	0.9958942448452992E0	-0.0059355459051203645E0	-1.0041226818770688E0	2623.364544652948E0	2634.1798421199637E0
hsa-miR-4516	0.5625632566941875E0	0.8136356409467247E0	0.5237807501535376E0	-0.9329650557569881E0	-1.909195784126978E0	5180.620502948668E0	9890.818824471531E0
hsa-miR-27b-3p	0.5676582822100185E0	0.8190498071887409E0	1.0871211256195314E0	0.12051269252272083E0	1.0871211256195314E0	7514.775733229728E0	6912.546868998779E0
hsa-miR-494-3p	0.5763511561348399E0	0.829617103605019E0	0.25492216764191616E0	-1.971871261517422E0	-3.9227659534288875E0	316.21344107128016E0	1240.4313209373204E0
hsa-miR-320c	0.6051361495216836E0	0.868986982488484E0	0.8891199069474096E0	-0.16955010047439853E0	-1.1247076937387128E0	235.40144210567374E0	264.75781305869396E0
hsa-miR-197-5p	0.6069639942821625E0	0.8695512542198356E0	0.4429436569192778E0	-1.1748048973548537E0	-2.2576234795980845E0	141.9493207425188E0	320.46811946537923E0
hsa-miR-23a-3p	0.6088119142103899E0	0.8701415566308875E0	1.1664710729997796E0	0.22215053076212746E0	1.1664710729997796E0	6436.9407252579E0	5518.302917308378E0
hsa-miR-4492	0.6137075612035027E0	0.8750747813866415E0	0.31919140677864116E0	-1.6475062828155702E0	-3.132916421818018E0	1427.6218546815244E0	4472.619953540578E0
hsa-miR-668-3p	0.6652837601781709E0	0.9463895743379614E0	0.3386657798592593E0	-1.5620658763502229E0	-2.9527636373996042E0	840.1798945227551E0	2480.8526418746405E0
hsa-miR-182-5p	0.6691100844155752E0	0.9481605466403232E0	0.5453303288896942E0	-0.8747977008055756E0	-1.8337509341100178E0	2508.1544558902688E0	4599.330576851949E0
hsa-miR-296-5p	0.6696579438317795E0	0.9481605466403232E0	0.9068582686818556E0	-0.14105100284086516E0	-1.1027081458423802E0	240.0978119664374E0	264.75781305869396E0
hsa-miR-130b-3p	0.672274246487518E0	0.9496461383949555E0	0.8834116491091689E0	-0.17884223828332688E0	-1.1319751114991505E0	886.3189089717373E0	1003.290945828091E0
hsa-miR-345-5p	0.6857142808191191E0	0.9663787306427586E0	1.0067772737166765E0	0.009744555594145887E0	1.0067772737166765E0	266.5521492267254E0	264.75781305869396E0
hsa-miR-126-5p	0.7002041341423235E0	0.9845097570539397E0	0.06899731423478804E0	-3.8573159846312324E0	-14.493317763023969E0	2216.956364894534E0	32131.05307768265E0
hsa-miR-29b-3p	0.7076993768468062E0	0.992744959187881E0	1.1871596442492753E0	0.24751395560319348E0	1.1871596442492753E0	2811.717774564E0	2368.441168045756E0
hsa-miR-1307-3p	0.7103718023424967E0	0.9941924069735635E0	0.9421141425282017E0	-0.08602623368682207E0	-1.0614425098390512E0	1260.127394424357E0	1337.5527842682022E0
hsa-miR-1248	0.7250277830148666E0	1.0E0	0.03515803283448963E0	-4.830001838841802E0	-28.443002050416524E0	16.172399793121283E0	459.99160073597056E0
hsa-miR-19a-3p	0.7545679821820983E0	1.0E0	1.423539790186638E0	0.5094828192499359E0	1.423539790186638E0	753.7723279507445E0	529.5056261173886E0
hsa-miR-27a-3p	0.7572277388308557E0	1.0E0	1.0978686490451084E0	0.1347054580709743E0	1.0978686490451084E0	4175.8541225382305E0	3803.6008461526E0
hsa-miR-411-5p	0.7802807458250797E0	1.0E0	0.9872039897717121E0	-0.0185798697555503E0	-1.0129618704552106E0	481.35971639806576E0	487.59903868543483E0
hsa-miR-96-5p	0.7969377578288562E0	1.0E0	0.5473618000792756E0	-0.8694333411476209E0	-1.826945175668393E0	762.8901729527215E0	1393.7585211826445E0
hsa-miR-18b-5p	0.7996421680538711E0	1.0E0	0.1054695127691797E0	-3.2451020640413684E0	-9.481412910179102E0	16.172399793121283E0	153.33720024532352E0
hsa-miR-129-5p	0.7997668369743984E0	1.0E0	0.1054695127691797E0	-3.2451020640413684E0	-9.481412910179102E0	16.172399793121283E0	153.33720024532352E0
hsa-miR-324-5p	0.8002622328110107E0	1.0E0	0.983059872328525E0	-0.02464880967346381E0	-1.017232040639956E0	315.0393486060892E0	320.46811946537923E0
hsa-miR-4488	0.8161294585399673E0	1.0E0	1.2755242800031363E0	0.35109036135255683E0	1.2755242800031363E0	1155.2092431288445E0	905.6740519894524E0
hsa-miR-3180	0.8231053563939069E0	1.0E0	0.9714377644239345E0	-0.04180652299132312E0	-1.0294020230858567E0	203.07664251943118E0	209.04750665200876E0
hsa-miR-122-5p	0.8250182828512811E0	1.0E0	0.14513426239052354E0	-2.784539952837261E0	-6.890171786653834E0	16.172399793121283E0	111.43061281337046E0
hsa-miR-10a-5p	0.8302650381451753E0	1.0E0	0.8137915772249718E0	-0.2972687463492309E0	-1.2288158638972386E0	2812.8918670291914E0	3456.5261497532674E0
hsa-miR-421	0.8334006496383802E0	1.0E0	0.8344909093172503E0	-0.2610317614820608E0	-1.1983354028603657E0	604.7884524170814E0	724.7394137946646E0
hsa-miR-542-3p	0.8361938800630339E0	1.0E0	0.14509590201196243E0	-2.784921321385585E0	-6.891993406661168E0	32.33479958624264E0	222.85122562674104E0
hsa-miR-99b-3p	0.8364098692843503E0	1.0E0	1.0055493519107137E0	0.007983890205761537E0	1.0055493519107137E0	910.6999560211949E0	905.6740519894524E0
hsa-miR-200b-3p	0.8535216998202095E0	1.0E0	0.13546206966266955E0	-2.8840391515747226E0	-7.3821402735852235E0	62.311414242103304E0	459.99160073597056E0
hsa-miR-5699-5p	0.8613171749542117E0	1.0E0	0.20321687809339814E0	-2.29890786536375E0	-4.92085110932765E0	31.160707121051647E0	153.33720024532352E0
hsa-miR-362-3p	0.8647832931927475E0	1.0E0	0.210873809767033E0	-2.245548169340947E0	-4.742172587030935E0	32.334799586242575E0	153.33720024532352E0
hsa-miR-329-3p	0.8814890838140995E0	1.0E0	0.2902424778224013E0	-1.7846694174569675E0	-3.4453950624411966E0	16.17239979312128E0	55.720306406685225E0
